,label,score
0,Neutral,0.523220002651215
1,Neutral,0.603654086589813
2,Positive,0.740420281887054
3,Positive,0.987104773521423
4,Neutral,0.927228033542633
5,Positive,0.990843057632446
6,Neutral,0.770928204059601
7,Positive,0.944778621196747
8,Positive,0.942983031272888
9,Positive,0.865666806697845
10,Positive,0.891223013401032
11,Positive,0.935457646846771
12,Neutral,0.84167343378067
13,Neutral,0.408490687608719
14,Positive,0.929298460483551
15,Positive,0.93209570646286
16,Positive,0.924343645572662
17,Neutral,0.795724809169769
18,Neutral,0.505917251110077
19,Neutral,0.826067566871643
20,Positive,0.943630158901215
21,Positive,0.544396877288818
22,Positive,0.975483596324921
23,Positive,0.944726467132568
24,Neutral,0.60417240858078
25,Neutral,0.694312453269959
26,Positive,0.538141191005707
27,Positive,0.97847455739975
28,Positive,0.495986938476563
29,Positive,0.89333587884903
30,Positive,0.94901430606842
31,Neutral,0.726874470710754
32,Positive,0.823537170886993
33,Neutral,0.79767370223999
34,Positive,0.82526832818985
35,Positive,0.92561662197113
36,Neutral,0.477554559707642
37,Positive,0.943494319915772
38,Positive,0.520513474941254
39,Neutral,0.552954137325287
40,Negative,0.981147944927216
41,Positive,0.963983356952667
42,Neutral,0.885258078575134
43,Neutral,0.798424661159515
44,Positive,0.96797525882721
45,Neutral,0.537198543548584
46,Neutral,0.517548501491547
47,Positive,0.813973426818848
48,Positive,0.978651583194733
49,Positive,0.980513751506805
50,Positive,0.868409097194672
51,Positive,0.779603481292725
52,Positive,0.525070548057556
53,Neutral,0.866070032119751
54,Neutral,0.582734048366547
55,Neutral,0.870090961456299
56,Neutral,0.831280529499054
57,Positive,0.721552193164825
58,Neutral,0.928186178207397
59,Negative,0.777125477790833
60,Positive,0.65494030714035
61,Positive,0.790590524673462
62,Positive,0.990746140480042
63,Neutral,0.730986952781677
64,Positive,0.826437711715698
65,Positive,0.924044489860535
66,Positive,0.6425701379776
67,Neutral,0.81563526391983
68,Neutral,0.517042338848114
69,Neutral,0.694029152393341
70,Neutral,0.797033727169037
71,Positive,0.549599826335907
72,Neutral,0.89909428358078
73,Negative,0.790181815624237
74,Neutral,0.885319352149963
75,Neutral,0.919557511806488
76,Neutral,0.920251131057739
77,Neutral,0.907056272029877
78,Neutral,0.67516016960144
79,Positive,0.652018547058106
80,Neutral,0.871309876441956
81,Positive,0.655812859535217
82,Positive,0.950314104557037
83,Positive,0.558653354644775
84,Neutral,0.508824586868286
85,Neutral,0.559874951839447
86,Neutral,0.542585432529449
87,Positive,0.932717859745026
88,Neutral,0.81665974855423
89,Positive,0.76032966375351
90,Positive,0.941024303436279
91,Positive,0.879359185695648
92,Positive,0.952454507350922
93,Positive,0.982286274433136
94,Positive,0.807945132255554
95,Negative,0.731630802154541
96,Positive,0.962711095809937
97,Neutral,0.853032648563385
98,Neutral,0.618087768554688
99,Neutral,0.528958082199097
100,Positive,0.877255737781525
101,Negative,0.933348655700684
102,Positive,0.591001927852631
103,Neutral,0.782628774642944
104,Positive,0.924072563648224
105,Positive,0.598153293132782
106,Neutral,0.872201561927795
107,Neutral,0.866226017475128
108,Neutral,0.829349100589752
109,Positive,0.968247532844543
110,Neutral,0.840751051902771
111,Neutral,0.822651743888855
112,Neutral,0.904573857784271
113,Positive,0.842533469200134
114,Neutral,0.688850879669189
115,Positive,0.975181519985199
116,Positive,0.627741456031799
117,Neutral,0.581131458282471
118,Neutral,0.635439574718475
119,Neutral,0.864307641983032
120,Positive,0.890739142894745
121,Neutral,0.606297075748444
122,Positive,0.775210559368134
123,Positive,0.959383308887482
124,Neutral,0.899787664413452
125,Neutral,0.854415595531464
126,Neutral,0.761611759662628
127,Neutral,0.495911210775375
128,Neutral,0.589459538459778
129,Neutral,0.715706348419189
130,Positive,0.944062173366547
131,Positive,0.952673017978668
132,Neutral,0.873396396636963
133,Neutral,0.878987729549408
134,Neutral,0.660956084728241
135,Positive,0.671060860157013
136,Positive,0.698352217674255
137,Neutral,0.897481441497803
138,Neutral,0.898234188556671
139,Positive,0.901605248451233
140,Neutral,0.941760063171387
141,Positive,0.849908351898193
142,Positive,0.546517610549927
143,Positive,0.476217329502106
144,Neutral,0.924014031887054
145,Neutral,0.751184284687042
146,Positive,0.839080452919006
147,Positive,0.847962558269501
148,Neutral,0.871700644493103
149,Neutral,0.675403654575348
150,Positive,0.976817727088928
151,Positive,0.961684465408325
152,Neutral,0.909877836704254
153,Positive,0.911555409431458
154,Positive,0.991610825061798
155,Neutral,0.894187211990356
156,Neutral,0.684889316558838
157,Positive,0.873935759067535
